id,x,y,name,type,floor
N001,2573.0,696.0,ห้อง2205,room,2
N002,2073.0,511.0,ห้อง 2204,room,2
N003,2076.0,868.0,ห้อง 2203,room,2
N004,1748.0,499.0,ห้องปฏิบัติการ 4,room,2
N005,1748.0,708.0,ห้องปฏิบัติการ 5,room,2
N006,1744.0,918.0,ห้องปฏิบัติการ 6,room,2
N007,1394.0,499.0,ห้องปฏิบัติการ 3,room,2
N008,1397.0,724.0,ห้องปฏิบัติการ 2,room,2
N009,1397.0,911.0,ห้องปฏิบัติการ 1,room,2
N010,1957.0,1252.0,ห้องน้ำหญิง,room,2
N011,1523.0,1261.0,ห้องน้ำชาย,room,2
N012,1335.0,1258.0,ลิฟท์ ชั้น2,elevator,2
N013,1032.0,986.0,ห้อง 2201,room,2
N014,1029.0,1333.0,MS1,room,2
N015,822.0,1336.0,MS2,room,2
N016,1022.0,1693.0,MS3,room,2
N017,1301.0,1639.0,MS4,room,2
N018,1523.0,1618.0,MS5,room,2
N019,1510.0,1893.0,ชมรมวัสดุศาสตร์,room,2
N020,1304.0,1833.0,ห้องครุภัณฑ์,room,2
N021,2323.0,424.0,บันไดขวา,stair,2
N022,1188.0,508.0,บันไดซ้าย,stair,2
N023,2385.0,668.0,ประตู2205 1,door,2
N024,2382.0,749.0,ประตู 2205 2,door,2
N025,2260.0,749.0,2203,door,2
N026,2260.0,671.0,2204,door,2
N027,1566.0,1074.0,main,door,2
N028,1529.0,664.0,lab2,door,2
N029,1485.0,780.0,lab1,door,2
N030,1535.0,586.0,lab3,door,2
N031,1604.0,586.0,lab4,door,2
N032,1601.0,668.0,lab5,door,2
N033,1651.0,780.0,lab6,door,2
N034,919.0,1074.0,Door N034,door,2
N035,1122.0,1168.0,Door N035,door,2
N036,2060.0,1199.0,Door N036,door,2
N037,1447.0,1199.0,Door N037,door,2
N038,1335.0,1202.0,Door N038,door,2
N039,1185.0,1199.0,Door N039,door,2
N040,1241.0,1511.0,Door N040,door,2
N041,1444.0,1627.0,Door N041,door,2
N042,1347.0,1724.0,Door N042,door,2
N043,1347.0,1758.0,Door N043,door,2
N044,1376.0,1858.0,Door N044,door,2
N045,872.0,1214.0,Door N045,door,2
N046,935.0,1252.0,Door N046,door,2
N047,1016.0,1568.0,Door N047,door,2
